code	char	left	ink	adv
05B8	囲	0	11	12
05B9	夷	0	11	12
05BB	威	0	11	12
05BE	意	0	11	12
05C0	易	0	11	12
05C1	椅	0	11	12
05C2	為	0	11	12
05C3	畏	0	11	12
05C4	異	0	11	12
05C5	移	0	11	12
05C6	維	0	11	12
05CA	衣	0	11	12
05CC	違	0	11	12
05CD	遺	0	11	12
05CE	医	0	11	12
05CF	井	0	11	12
05D0	亥	0	11	12
05D1	域	0	11	12
05D2	育	0	11	12
05D4	磯	0	11	12
05D5	一	0	10	11
05D8	逸	0	11	12
05D9	稲	0	11	12
05DA	茨	0	11	12
05DE	印	0	11	12
05E0	員	0	11	12
05E1	因	0	11	12
05E2	姻	0	11	12
05E3	引	0	10	11
05E4	飲	0	11	12
05E5	淫	0	11	12
05E8	院	0	11	12
05E9	陰	0	11	12
05EA	隠	0	11	12
05ED	右	0	11	12
05EE	宇	0	11	12
05EF	烏	0	11	12
05F0	羽	0	11	12
05F2	雨	0	11	12
05F3	卯	0	11	12
05F6	丑	0	11	12
05FA	嘘	0	11	12
0600	厩	0	11	12
0601	浦	0	11	12
0602	瓜	0	11	12
0603	閏	0	11	12
0604	噂	0	11	12
0606	運	0	11	12
0607	雲	0	11	12
0609	餌	0	11	12
060A	叡	0	11	12
060B	営	0	11	12
060D	影	0	11	12
060E	映	0	11	12
0610	栄	0	11	12
0611	永	0	11	12
0614	瑛	0	11	12
0616	穎	0	11	12
0618	英	0	11	12
0619	衛	0	11	12
061B	鋭	0	11	12
061C	液	0	11	12
061D	疫	0	11	12
061E	益	0	11	12
0620	悦	0	11	12
0622	越	0	11	12
0628	園	0	11	12
062B	宴	0	11	12
062C	延	0	11	12
062D	怨	0	11	12
062F	援	0	11	12
0630	沿	0	11	12
0632	炎	0	11	12
0634	煙	0	11	12
0636	猿	0	11	12
0637	縁	0	11	12
0638	艶	0	11	12
063B	遠	0	11	12
063F	於	0	11	12
0640	汚	0	11	12
0642	凹	0	11	12
0643	央	0	11	12
0644	奥	0	11	12
0646	応	0	11	12
0647	押	0	11	12
0648	旺	0	11	12
0649	横	0	11	12
064A	欧	0	11	12
064B	殴	0	11	12
064C	王	0	11	12
064D	翁	0	11	12
0651	黄	0	11	12
0652	岡	0	11	12
0656	屋	0	11	12
0657	憶	0	11	12
065A	牡	0	11	12
065B	乙	0	11	12
065C	俺	0	11	12
065E	恩	0	11	12
065F	温	0	11	12
0660	穏	0	11	12
0661	音	0	11	12
0662	下	0	11	12
0663	化	0	11	12
0664	仮	0	11	12
0665	何	0	11	12
0666	伽	0	11	12
0667	価	0	11	12
0668	佳	0	11	12
0669	加	0	11	12
066A	可	0	11	12
066C	夏	0	11	12
066E	家	0	11	12
066F	寡	0	11	12
0670	科	0	11	12
0671	暇	0	11	12
0672	果	0	11	12
0673	架	0	11	12
0674	歌	0	11	12
0675	河	0	11	12
0676	火	0	11	12
067B	箇	0	11	12
067C	花	0	11	12
067E	茄	0	11	12
0680	華	0	11	12
0685	貨	0	11	12
0686	迦	0	11	12
0687	過	0	11	12
0688	霞	0	11	12
068C	我	0	11	12
068D	牙	0	11	12
068E	画	0	11	12
0690	芽	0	11	12
0692	賀	0	11	12
0693	雅	0	11	12
0694	餓	0	11	12
0696	介	0	11	12
0697	会	0	11	12
0698	解	0	11	12
0699	回	0	11	12
069A	塊	0	11	12
069B	壊	0	11	12
069C	廻	0	11	12
069D	快	0	11	12
069E	怪	0	11	12
069F	悔	0	11	12
06A1	懐	0	11	12
06A2	戒	0	11	12
06A4	改	0	11	12
06A7	械	0	11	12
06A8	海	0	11	12
06A9	灰	0	11	12
06AA	界	0	11	12
06AB	皆	0	10	11
06AC	絵	0	11	12
06AF	開	0	11	12
06B0	階	0	11	12
06B3	劾	0	11	12
06B4	外	0	11	12
06B6	害	0	11	12
06B7	崖	0	11	12
06BB	碍	0	11	12
06BD	街	0	11	12
06BF	鎧	0	11	12
06C0	骸	0	11	12
06C3	蛙	0	11	12
06C8	劃	0	11	12
06C9	嚇	0	11	12
06CA	各	0	11	12
06CC	拡	0	11	12
06CE	格	0	11	12
06CF	核	0	11	12
06D0	殻	0	11	12
06D1	獲	0	11	12
06D2	確	0	11	12
06D4	覚	0	11	12
06D5	角	0	10	11
06D7	較	0	11	12
06D9	閣	0	11	12
06DA	隔	0	11	12
06DB	革	0	11	12
06DC	学	0	11	12
06DE	楽	0	11	12
06DF	額	0	11	12
06E0	顎	0	11	12
06E1	掛	0	11	12
06E5	橿	0	11	12
06E6	梶	0	11	12
06E9	割	0	11	12
06EA	喝	0	11	12
06EB	恰	0	11	12
06ED	活	0	11	12
06EE	渇	0	11	12
06EF	滑	0	11	12
06F0	葛	0	11	12
06F5	叶	0	11	12
06F6	椛	0	11	12
06FA	兜	0	11	12
06FD	釜	0	11	12
06FE	鎌	0	11	12
06FF	噛	0	11	12
0700	鴨	0	11	12
0701	栢	0	11	12
0702	茅	0	11	12
0708	乾	0	11	12
070A	冠	0	11	12
070B	寒	0	11	12
070D	勘	0	11	12
070E	勧	0	11	12
070F	巻	0	11	12
0710	喚	0	11	12
0711	堪	0	11	12
0712	姦	0	11	12
0713	完	0	11	12
0714	官	0	11	12
0715	寛	0	11	12
0716	干	0	11	12
0717	幹	0	11	12
0718	患	0	11	12
0719	感	0	11	12
071C	換	0	11	12
071D	敢	0	11	12
0720	棺	0	11	12
0722	歓	0	11	12
0724	漢	0	11	12
0728	甘	0	11	12
0729	監	0	11	12
072A	看	0	11	12
072C	管	0	11	12
072D	簡	0	11	12
072E	緩	0	11	12
0734	観	0	11	12
0736	貫	0	11	12
0737	還	0	11	12
0738	鑑	0	11	12
0739	間	0	11	12
073A	閑	0	11	12
073B	関	0	11	12
073E	館	0	11	12
0740	丸	0	11	12
0741	含	0	11	12
0742	岸	0	11	12
0746	眼	0	11	12
0747	岩	0	11	12
074B	頑	0	11	12
074C	顔	0	11	12
074D	願	0	11	12
074E	企	0	11	12
0750	危	0	11	12
0751	喜	0	11	12
0752	器	0	11	12
0753	基	0	11	12
0754	奇	0	11	12
0755	嬉	0	11	12
0756	寄	0	11	12
0757	岐	0	11	12
0758	希	0	11	12
0759	幾	0	11	12
075B	揮	0	11	12
075D	旗	0	11	12
075F	期	0	11	12
0760	棋	0	11	12
0761	棄	0	11	12
0762	機	0	11	12
0763	帰	0	11	12
0765	気	0	11	12
0768	祈	0	11	12
0769	季	0	11	12
076A	稀	0	11	12
076B	紀	0	11	12
076E	記	0	11	12
076F	貴	0	11	12
0770	起	0	11	12
0772	輝	0	11	12
0773	飢	0	11	12
0774	騎	0	11	12
0775	鬼	0	11	12
0776	亀	0	11	12
0777	偽	0	11	12
0778	儀	0	11	12
077A	宜	0	11	12
077B	戯	0	11	12
077C	技	0	11	12
077E	欺	0	11	12
077F	犠	0	11	12
0782	義	0	11	12
0785	議	0	11	12
0787	菊	0	11	12
0789	吉	0	11	12
078E	詰	0	11	12
0790	杵	0	11	12
0792	却	0	11	12
0793	客	0	11	12
0794	脚	0	11	12
0795	虐	0	11	12
0796	逆	0	11	12
0797	丘	0	11	12
0799	仇	0	11	12
079A	休	0	11	12
079B	及	0	11	12
079C	吸	0	11	12
