code	char	left	ink	adv
0FFB	娘	0	11	12
0FFC	冥	0	11	12
0FFD	名	0	11	12
0FFE	命	0	11	12
0FFF	明	0	11	12
1001	迷	0	11	12
1002	銘	0	11	12
1003	鳴	0	11	12
1004	姪	0	11	12
1005	牝	0	11	12
1006	滅	0	11	12
1009	綿	0	11	12
100B	面	0	11	12
100E	模	0	11	12
100F	茂	0	11	12
1010	妄	0	11	12
1012	毛	0	11	12
1013	猛	0	11	12
1014	盲	0	11	12
1016	耗	0	11	12
1018	儲	0	11	12
1019	木	0	11	12
101A	黙	0	11	12
101B	目	1	8	9
1020	戻	0	11	12
1022	貰	0	11	12
1023	問	0	11	12
1024	悶	0	11	12
1025	紋	0	11	12
1026	門	0	11	12
1029	冶	0	11	12
102A	夜	0	11	12
102D	野	0	11	12
102E	弥	0	11	12
102F	矢	0	11	12
1030	厄	0	11	12
1031	役	0	11	12
1032	約	0	11	12
1033	薬	0	11	12
1034	訳	0	11	12
1035	躍	0	11	12
1036	靖	0	11	12
103C	油	0	11	12
103D	癒	0	11	12
103E	諭	0	11	12
1040	唯	0	11	12
1042	優	0	11	12
1043	勇	0	11	12
1044	友	0	11	12
1046	幽	0	11	12
104A	有	0	11	12
104B	柚	0	11	12
104C	湧	0	11	12
104E	猶	0	11	12
1050	由	0	10	11
1052	裕	0	11	12
1053	誘	0	11	12
1054	遊	0	11	12
1057	雄	0	11	12
1058	融	0	11	12
1059	夕	0	10	11
105A	予	0	11	12
105B	余	0	11	12
105C	与	0	11	12
105D	誉	0	11	12
105F	預	0	11	12
1061	幼	0	11	12
1062	妖	0	11	12
1063	容	0	11	12
1064	庸	0	11	12
1066	揺	0	11	12
1067	擁	0	11	12
1068	曜	0	11	12
106A	様	0	11	12
106B	洋	0	11	12
106C	溶	0	11	12
106E	用	0	11	12
106F	窯	0	11	12
1070	羊	0	11	12
1072	葉	0	11	12
1074	要	0	11	12
1076	踊	0	11	12
1078	陽	0	11	12
1079	養	0	11	12
107B	抑	0	11	12
107C	欲	0	11	12
107F	浴	0	11	12
1081	翼	0	11	12
1083	羅	0	11	12
1084	螺	0	11	12
1085	裸	0	11	12
1086	来	0	11	12
1088	頼	0	11	12
1089	雷	0	11	12
108C	落	0	11	12
108E	乱	0	11	12
108F	卵	0	11	12
1090	嵐	0	11	12
1092	濫	0	11	12
1095	覧	0	11	12
1096	利	0	11	12
1098	履	0	11	12
109B	理	0	11	12
109E	裏	0	11	12
10A0	里	0	11	12
10A1	離	0	11	12
10A2	陸	0	11	12
10A3	律	0	11	12
10A4	率	0	11	12
10A5	立	0	11	12
10A8	略	0	11	12
10AA	流	0	11	12
10AC	琉	0	11	12
10AD	留	0	11	12
10B0	隆	0	11	12
10B1	竜	0	11	12
10B2	竜	0	11	12
10B3	侶	0	11	12
10B4	慮	0	11	12
10B5	旅	0	11	12
10B6	虜	0	11	12
10B7	了	1	9	10
10BA	両	0	11	12
10BC	寮	0	11	12
10BD	料	0	11	12
10BF	涼	0	11	12
10C0	猟	0	11	12
10C1	療	0	11	12
10C5	良	0	11	12
10C8	量	0	11	12
10CA	領	0	11	12
10CB	力	0	10	11
10CC	緑	0	11	12
10CF	林	0	11	12
10D3	臨	0	11	12
10D4	輪	0	11	12
10D5	隣	0	11	12
10D6	鱗	0	11	12
10DA	涙	0	11	12
10DC	類	0	11	12
10DD	令	0	11	12
10DF	例	0	11	12
10E0	冷	0	11	12
10E5	礼	0	11	12
10E7	鈴	0	11	12
10E8	隷	0	11	12
10EA	霊	0	11	12
10EB	麗	0	11	12
10EC	齢	0	11	12
10EE	歴	0	11	12
10EF	列	0	11	12
10F0	劣	0	11	12
10F1	烈	0	11	12
10F2	裂	0	11	12
10F4	恋	0	11	12
10F8	簾	0	11	12
10F9	練	0	11	12
10FA	聯	0	11	12
10FB	蓮	0	11	12
10FC	連	0	11	12
10FD	錬	0	11	12
10FE	呂	0	10	11
1101	炉	0	11	12
1103	路	0	11	12
1104	露	0	11	12
1105	労	0	11	12
1107	廊	0	11	12
1108	弄	0	11	12
110A	楼	0	11	12
110C	浪	0	11	12
110E	牢	0	11	12
110F	狼	0	11	12
1110	篭	0	11	12
1111	老	0	11	12
1112	聾	0	11	12
1114	郎	0	11	12
1115	六	0	11	12
1118	肋	0	11	12
1119	録	0	11	12
111C	和	0	11	12
111D	話	0	11	12
1120	脇	0	11	12
1121	惑	0	11	12
1122	枠	0	11	12
1123	鷲	0	11	12
1124	亙	0	11	12
1126	鰐	0	11	12
112B	湾	0	11	12
112C	碗	0	11	12
112D	腕	0	11	12
1130	瓊	0	11	12
1131	滄	0	11	12
1132	絆	0	11	12
1133	弉	0	11	12
1134	冉	0	11	12
1135	禊	0	11	12
1136	頸	0	11	12
1137	鶉	0	11	12
1138	咫	0	11	12
1139	薔	0	11	12
113A	薇	0	11	12
113B	饒	0	11	12
113C	巫	0	11	12
113D	籠	0	11	12
113E	壺	0	11	12
113F	咬	0	11	12
1140	蜥	0	11	12
1141	蜴	0	11	12
1142	奢	0	11	12
1143	髄	0	11	12
1144	蛟	0	11	12
1145	藪	0	11	12
1146	驕	0	11	12
1147	魑	0	11	12
1148	闖	0	11	12
1149	蝙	0	11	12
114A	蝠	0	11	12
114B	滾	0	11	12
114C	鉤	0	11	12
114D	鍮	0	11	12
114E	咎	0	11	12
114F	徘	0	11	12
1150	徊	0	11	12
1151	棘	0	11	12
1152	嗜	0	11	12
1153	戌	0	11	12
1154	廬	0	11	12
1155	橐	0	11	12
1156	蜚	0	11	12
1157	梟	0	11	12
1158	狡	0	11	12
1159	猾	0	11	12
116C	亞	0	11	12
1172	宣	0	11	12
117A	仭	0	11	12
1184	佶	0	11	12
1188	佻	0	11	12
1190	俔	0	11	12
11A6	俯	0	11	12
11A8	倆	0	11	12
11AE	偈	0	11	12
11B6	傴	0	11	12
11B7	傲	0	11	12
11B8	贄	0	11	12
11B9	睨	0	11	12
11BA	戮	0	11	12
11BB	閻	0	11	12
11BC	蘇	0	11	12
11BD	罠	1	10	11
11C0	踵	0	11	12
11C2	銛	0	11	12
11C3	裔	0	11	12
11C4	憑	0	11	12
11C5	霆	0	11	12
11C7	魃	0	11	12
11C8	羂	0	11	12
11CA	羯	0	11	12
11CB	曼	0	11	12
11CD	咆	0	11	12
11CE	哮	0	11	12
11CF	咤	0	11	12
11D4	槃	0	11	12
11D7	祓	0	11	12
11D8	祀	0	11	12
11D9	熾	0	11	12
11DC	箍	0	11	12
11DE	彷	0	11	12
11DF	徨	0	11	12
11E0	眷	0	11	12
11E1	騙	0	11	12
11E4	芒	0	11	12
11E6	衢	0	11	12
11E7	蛛	0	11	12
11EA	貪	0	11	12
11EC	獰	0	11	12
11ED	刹	0	11	12
11F1	咸	0	11	12
11F2	鵺	0	11	12
11F3	翅	0	11	12
11F6	撰	0	11	12
11F7	瞑	0	11	12
11FA	澤	0	11	12
11FC	浜	0	11	12
